čislo škatule,Ukladacia jednotka,čislo spisu,Obsah registratúrneho záznamu,OD (ROK),DO ( ROK),Oddelenie,pododdelenie,Dátum odovzdania,Odovzdal,Lehota uloženia,RZ,forma,Lokalizacia,Barcode,Rok skartácie
1,,5090000019,5090000019,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5090000115,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5090000211,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5090000318,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5090000414,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5090000510,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5090000713,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5090000828,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000017,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000113,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000228,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000316,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000412,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000519,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000615,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000711,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001000914,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001001116,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001001212,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001001319,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001001810,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001001917,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002012,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002119,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002311,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002418,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002514,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002610,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002717,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002813,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001002928,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001003015,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001003111,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001003218,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001003314,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001003410,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001003613,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001003728,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001004018,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001006515,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001006611,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001006814,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001007016,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001007112,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001007219,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001007315,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001007411,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008019,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008115,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008211,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008318,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008414,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008510,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008617,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008713,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001008828,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001009118,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001009214,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001009310,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001009417,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001009812,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001010119,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001010717,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001010813,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001010928,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011111,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011218,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011314,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011410,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011517,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011613,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011728,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011816,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001011912,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001012018,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001012210,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001012317,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001012413,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001012528,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001012616,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001012712,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001012819,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001013010,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001013117,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001013213,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001014611,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001014718,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001014814,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001014910,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001015016,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001015112,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001015710,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001015817,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001016617,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001016828,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001017628,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001017716,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001022216,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001022312,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001022814,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001022910,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023016,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023112,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023219,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023315,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023411,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023614,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023710,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023817,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
1,,5090000019,5001023913,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001024019,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001024115,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001024211,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001024318,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001024414,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001024617,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001024713,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001024828,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001025513,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001025716,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001026110,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001026815,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001027017,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001027113,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001027228,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001027711,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001027818,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001028212,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001028319,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001028917,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001029012,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001029119,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001029215,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001030013,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001030128,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001030216,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001030312,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001030419,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001030515,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001030611,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001030814,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001031913,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001032115,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001032211,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001032414,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001032617,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001032713,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001032828,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001032916,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001033011,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001033118,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001034217,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001034428,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001034516,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001034612,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001034719,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001035113,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001035228,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001035316,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001035412,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001035519,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001035615,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001035711,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001035818,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001036028,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001036116,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001036212,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001036319,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001037311,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001037717,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001037813,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001037928,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038015,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038218,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038314,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038410,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038517,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038613,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038728,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038816,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001038912,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001039018,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001039317,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001039528,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001039616,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001039712,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001039819,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001039915,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040019,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040115,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040211,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040318,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040414,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040510,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040617,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040713,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040828,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001040916,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
2,,5001024000,5001041011,,,HUP,,10/03/2005,Tamašová,10,,obalka,P - A2/R1/P4,,2016
